"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding"
"1020101-20","","光法西(2)","","33.23381","130.32872","1020101-20","","0","1020101","",""
"1020102-20","","光法(2)","","33.23177","130.33336","1020102-20","","0","1020102","",""
"1020103-20","","山領北(2)","","33.23066","130.33591","1020103-20","","0","1020103","",""
"1020104-20","","山領(2)","","33.22819","130.34134","1020104-20","","0","1020104","",""
"1020105-20","","野町(2)","","33.22703","130.34399","1020105-20","","0","1020105","",""
"1020106-20","","小杭(2)","","33.22479","130.34917","1020106-20","","0","1020106","",""
"1020107-20","","諸富支所前(2)","","33.22287","130.3533","1020107-20","","0","1020107","",""
"1020108-20","","諸富橋(2)","","33.22293","130.36049","1020108-20","","0","1020108","",""
"1020109-20","","昇開橋前(2)","","33.21791","130.36084","1020109-20","","0","1020109","",""
"1020110-20","","石塚(2)","","33.21554","130.35638","1020110-20","","0","1020110","",""
"1020111-20","","浮盃(2)","","33.21407","130.35289","1020111-20","","0","1020111","",""
"1020112-20","","寺井橋(2)","","33.21359","130.347","1020112-20","","0","1020112","",""
"1020113-10","","上下角","","33.212837","130.34223","1020113-10","","0","1020113","",""
"1020114-20","","佐野常民記念館入口(2)","","33.21267","130.33768","1020114-20","","0","1020114","",""
"1020115-20","","上早(2)","","33.21119","130.33548","1020115-20","","0","1020115","",""
"1020116-20","","中川副小学校前(2)","","33.20882","130.3354","1020116-20","","0","1020116","",""
"1020118-00","","早津江","","33.20546","130.3353","1020118-00","","0","1020118","",""
"1020117-00","","中早","","33.20673","130.33524","1020117-00","","0","1020117","",""
"1020116-10","","中川副小学校前(1)","","33.20877","130.33531","1020116-10","","0","1020116","",""
"1020115-10","","上早(1)","","33.21098","130.33537","1020115-10","","0","1020115","",""
"1020114-10","","佐野常民記念館入口(1)","","33.2128","130.33769","1020114-10","","0","1020114","",""
"1020113-20","","上下角","","33.212929","130.342592","1020113-20","","0","1020113","",""
"1020112-10","","寺井橋(1)","","33.21371","130.34642","1020112-10","","0","1020112","",""
"1020111-10","","浮盃(1)","","33.21412","130.35271","1020111-10","","0","1020111","",""
"1020110-10","","石塚(1)","","33.21553","130.35622","1020110-10","","0","1020110","",""
"1020109-10","","昇開橋前(1)","","33.2184","130.36099","1020109-10","","0","1020109","",""
"1020108-10","","諸富橋(1)","","33.22254","130.36145","1020108-10","","0","1020108","",""
"1020107-10","","諸富支所前(1)","","33.22268","130.35353","1020107-10","","0","1020107","",""
"1020106-10","","小杭(1)","","33.22456","130.34917","1020106-10","","0","1020106","",""
"1020105-10","","野町(1)","","33.226517","130.344875","1020105-10","","0","1020105","",""
"1020104-10","","山領(1)","","33.2282","130.34114","1020104-10","","0","1020104","",""
